account_alias,date_trunc,net,a_reg_week,a_reg_status,n_regs,improper_format,probable_duplicate,approx_alexa
g1,2017-01-13,162.231.224.0/24,2015-03-02,unconfirmed,1,f,f,17000
m1,2016-11-30,162.244.35.0/24,2015-03-02,email-clicked,1,f,f,19500
g1,2017-01-23,162.244.81.0/24,2015-03-02,unconfirmed,1,f,f,17000
m1,2017-01-21,162.253.109.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-09,164.177.31.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-09,166.141.113.0/24,2015-03-02,email-clicked,1,f,f,19500
g2,2016-12-21,166.62.35.0/24,2015-03-02,unconfirmed,1,f,f,17000
m2,2016-07-09,167.58.160.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-16,168.181.113.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2016-11-26,171.125.132.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-23,171.125.133.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-12-04,171.217.122.0/24,2015-03-02,email-clicked,1,f,f,18000
e1,2016-12-14,171.217.123.0/24,2015-03-02,email-clicked,1,f,f,15500
i1,2016-02-14,171.224.193.0/24,2015-02-23,unconfirmed,1,f,f,7000
i2,2016-02-07,171.232.51.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-02-07,171.232.51.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-09-21,171.234.11.0/24,2015-02-16,unconfirmed,1,f,f,7000
h2,2016-07-29,171.234.201.0/24,2016-05-16,manual,1,f,f,17000
i1,2016-08-08,171.234.50.0/24,2015-02-23,unconfirmed,1,f,f,7000
g1,2016-02-04,171.248.152.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2016-03-21,171.249.215.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2016-02-04,171.251.29.0/24,2015-03-02,unconfirmed,1,f,f,17000
m1,2017-01-21,171.34.73.0/24,2015-03-02,email-clicked,1,f,f,19500
i2,2016-08-19,171.5.248.0/24,2015-02-16,unconfirmed,1,f,f,7000
m2,2016-09-06,171.5.250.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2016-11-27,172.111.254.0/24,2015-03-02,email-clicked,1,f,f,18000
m1,2017-01-20,172.113.102.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-11-08,172.86.247.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2016-11-04,173.0.254.0/24,2015-03-02,email-clicked,1,f,f,18000
g1,2016-02-04,173.215.171.0/24,2015-03-02,unconfirmed,1,f,f,17000
b1,2017-01-05,173.233.85.0/24,2015-03-02,unconfirmed,1,f,f,8000
d3,2016-10-18,173.240.136.0/24,2015-12-07,email-clicked,1,f,f,20000
f1,2016-06-22,173.245.215.0/24,2015-03-02,email-clicked,1,f,f,18000
b1,2016-06-25,173.254.97.0/24,2015-03-02,unconfirmed,1,f,f,8000
g1,2016-10-05,174.117.124.0/24,2015-03-02,unconfirmed,1,f,f,17000
i2,2016-09-10,175.101.99.0/24,2015-02-16,unconfirmed,1,f,f,7000
b1,2016-06-27,175.120.108.0/24,2015-03-02,unconfirmed,1,f,f,8000
f1,2016-04-17,175.13.248.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-10-26,175.13.248.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-05-18,175.13.249.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-10-07,175.13.250.0/24,2015-03-02,email-clicked,1,f,f,18000
e1,2016-05-19,175.13.250.0/24,2015-03-02,email-clicked,1,f,f,15500
f1,2016-05-19,175.13.250.0/24,2015-03-02,email-clicked,1,f,f,18000
e1,2016-04-17,175.13.251.0/24,2015-03-02,email-clicked,1,f,f,15500
f1,2016-04-17,175.13.251.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-10-02,175.13.251.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-10-11,175.13.252.0/24,2015-03-02,email-clicked,1,f,f,18000
e1,2016-05-18,175.13.255.0/24,2015-03-02,email-clicked,1,f,f,15500
l1,2016-08-24,175.137.97.0/24,2015-03-02,unconfirmed,1,f,f,10500
i1,2016-09-21,175.141.156.0/24,2015-02-23,unconfirmed,1,f,f,7000
n1,2017-01-09,175.160.240.0/24,2015-03-02,unconfirmed,1,f,f,11000
n1,2017-01-09,175.160.240.0/24,2015-03-02,unconfirmed,1,f,f,11000
b1,2016-06-28,175.196.232.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2016-06-28,175.196.232.0/24,2015-03-02,unconfirmed,1,f,t,8000
g1,2016-02-04,175.210.114.0/24,2015-03-02,unconfirmed,1,f,f,17000
f1,2016-11-23,175.42.104.0/24,2015-03-02,email-clicked,1,f,f,18000
n1,2016-08-20,175.42.104.0/24,2015-03-02,unconfirmed,1,f,f,11000
f1,2016-11-27,175.42.87.0/24,2015-03-02,email-clicked,1,f,f,18000
m2,2016-09-08,176.103.23.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-09-08,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-09-08,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-09-08,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,f,19500
